TGS 2610 (mV);TGS 2602  (mV);TGS 2620 (mV);TGS 2600 (mV);TGS 2611(mV);kelas
872.2;1837.5;2464.7;1661.1;1029;1
882;1773.8;2391.2;1646.4;1014.3;1
877.1;1675.8;2288.3;1617;1019.2;1
862.4;1553.3;2219.7;1563.1;1019.2;1
852.6;1445.5;2141.3;1523.9;1009.4;1
842.8;1327.9;2082.5;1479.8;1004.5;1
833;1239.7;2043.3;1440.6;994.7;1
828.1;1161.3;1994.3;1416.1;989.8;1
823.2;1097.6;1969.8;1391.6;980;1
813.4;1029;1925.7;1362.2;975.1;1
808.5;984.9;1906.1;1337.7;965.3;1
808.5;945.7;1886.5;1323;955.5;1
798.7;916.3;1862;1303.4;940.8;1
798.7;886.9;1852.2;1288.7;931;1
793.8;862.4;1827.7;1269.1;926.1;1
793.8;842.8;1817.9;1254.4;916.3;1
793.8;833;1808.1;1249.5;901.6;1
788.9;813.4;1798.3;1234.8;886.9;1
788.9;803.6;1793.4;1234.8;882;1
784;788.9;1778.7;1225;872.2;1
784;774.2;1773.8;1215.2;862.4;1
784;764.4;1773.8;1210.3;862.4;1
784;759.5;1778.7;1205.4;842.8;1
779.1;754.6;1773.8;1205.4;837.9;1
779.1;744.8;1768.9;1200.5;823.2;1
779.1;735;1764;1200.5;818.3;1
784;735;1764;1200.5;813.4;1
779.1;730.1;1759.1;1195.6;798.7;1
774.2;725.2;1754.2;1190.7;793.8;1
774.2;720.3;1759.1;1190.7;784;1
774.2;720.3;1759.1;1185.8;779.1;1
774.2;715.4;1759.1;1185.8;769.3;1
774.2;715.4;1773.8;1180.9;764.4;1
774.2;715.4;1759.1;1185.8;754.6;1
774.2;710.5;1759.1;1180.9;744.8;1
774.2;710.5;1754.2;1180.9;739.9;1
774.2;705.6;1764;1180.9;730.1;1
769.3;710.5;1764;1180.9;725.2;1
769.3;705.6;1754.2;1185.8;720.3;1
774.2;700.7;1759.1;1190.7;715.4;1
769.3;700.7;1754.2;1190.7;705.6;1
769.3;705.6;1764;1190.7;700.7;1
769.3;700.7;1764;1185.8;695.8;1
774.2;695.8;1759.1;1185.8;690.9;1
774.2;690.9;1764;1190.7;686;1
774.2;690.9;1764;1190.7;681.1;1
769.3;681.1;1759.1;1190.7;676.2;1
764.4;681.1;1754.2;1195.6;676.2;1
769.3;681.1;1754.2;1190.7;666.4;1
764.4;676.2;1754.2;1190.7;661.5;1
764.4;676.2;1759.1;1190.7;656.6;1
764.4;666.4;1768.9;1190.7;651.7;1
764.4;666.4;1759.1;1190.7;646.8;1
